Internal Reference,Product Name,Odoo Price,QB Price,Match Quality
65UL3J-E,"webOS UHD Signage, Brightness(Typ.) : 400 nits. Resolution : ULTRA HD (3,840 x 2,160), webOS-based High Performance, Built-in Speaker",0,1795,100% (MPN)
65UQ7570,"LG 65"" 4K Smart LED TV",995,925,100% (ItemAfterColon)
65UR9000,"65"" Class UR9000 Series 4K UHD Smart LED TV",1351,1195,100% (ItemAfterColon)
65UT7570,LG 65-Inch Class UT75 Series LED Smart TV,780,975,100% (ItemAfterColon)
6871L-5027H,6871L-5027H 6871L-5336A LG T-Con Board,50,100,100% (ItemAfterColon)
6871L-5496A,LG 6871L-5496A (6870C-0750B) T-Con Board,50,100,100% (ItemAfterColon)
6916L-1944A/6916L-1945A,LG 6916L-1944A/6916L-1945A LED Backlight Strips (10),90,80,100% (ItemAfterColon)
6916L-2305A/6916L-2306A,LG 6916L-2305A/6916L-2306A LED Backlight Strips/Bars,120,110,100% (ItemAfterColon)
700504897,IPO IP500 V2 COMBO CARD ATM4 V2 TAA,465,385,100% (MPN)
7200-23490-001,"Power Kit for RealPresence Trio 8800 and Trio Visual+. Incl. 100-240V, 0.8A, 55V/36W, IEEE 802.3at compliant mid-span power injector for 10/100/1000 Mbps Ethernet. Ships with 2.7m/9ft power cord with NA plug and 2.1m/7ft Ethernet cable.",210,145,100% (MPN)
7200-87300-001,Poly Studio X70 with TC8,0,10250,100% (MPN)
7200-88155-034,Poly Studio X70 All-In-One Video Bar,0,13650,100% (MPN)
7230-87720-034,"7230-87720-034 Poly Large Room Kit includes: Poly E70 camera, GC8 touch controller, Cable 10m USB3.1 A to C, 2 * Pwr cord Type B, NEMA 5-15.",5750,6550,100% (MPN)
75U8N,"Hisense 75U8N Mini-LED 75"" 144Hz 4K Google Smart TV",1295,2495,100% (ItemAfterColon)
75UL3J-E,"webOS UHD Signage, Brightness(Typ.) : 330 nits, Resolution : ULTRA HD (3,840 x 2,160), webOS-based High Performance..Built-in Speaker",0,2695,100% (MPN)
75UQ7590,"LG 75UQ7590 75"" 4K Smart TV",1229,1395,100% (ItemAfterColon)
75UR640S,"75"" Commercial, UHD TV Signage, Brightness(Typ.) : 400 nits, Resolution : ULTRA HD (3,840 x 2,160), Improved ,Design with Slim Depth, webOS-based High Performance",2125,2800,100% (MPN)
75UR770HLA,75UR770HLA,2095,2495,100% (MPN)
760858-0010,Bose QC35 Replacement Cushion Kit (Black),49.95,55,100% (MPN)
820,TERMINATION/CUTTING TOOL FOR 900  KEYSTONE JACKS,80,115,100% (MPN)
834167-0100,"Bose KIT,EAR CUSHION,SCRIM,HP 700,BLACK",49,55,100% (ItemAfterColon)
86UR640S,"86"" Commercial, UHD TV Signage, Brightness(Typ.) : 400 nits, Resolution : ULTRA HD (3,840 x 2,160), Improved ,Design with Slim Depth, webOS-based High Performance",2995,4075,100% (MPN)
875M6AA,Poly Table Expansion Microphone,350,275,100% (MPN)
9-Volt,9-Volt Battery,5.95,6.75,100% (ItemAfterColon)
910-151-001-01,"LS6CT speakers, includes two 6"" ceiling speakers with 8 ohm or 70/100V taps and tile bridge",265,379,100% (ItemAfterColon)
910-3200-001,"CONVERGE Pro 2 DSP Mixer with 12 mic/line inputs (AEC), 8 mic/line outputs and built-in USB audio",4815,5495,100% (ItemAfterColon)
910-3200-208-U,"Beamforming Mic, BMA with 4 x 15 Watt Power Amplifiers",5195,4895,100% (MPN)
910-3200-209,"90W W PoE Power supply and (B) Qty 2 of 25 Ft CAT6 Cables for BMA2, BMA CT, BMA 360 and Converge Huddle. One PoE Power supply can power up to three peripheral devices. When used to power BMA 360, can support up to four 8-Ohm",335,350,100% (ItemAfterColon)
910-6000-800,8-bay docking (charging) station for recharging transmitters,420,335,100% (MPN)
910-6004-010,Lavalier Omni Microphone for Beltpack,110,125,100% (MPN)
910-6105-021,"Di-pole Antenna extension kit with pair of 25 Ft RG8 Plenum cables tuned for 2.4 GHz RF band, includes pair of mounting brackets",630,555,100% (MPN)
930-3200-401-1, CONVERGE PA 460 Amplifier unit + Qty 1 Rack Mounting Kit,985,1425,100% (MPN)
939-001644,RALLY MNT KIT FOR SYST MNT KIT FOR RALLY,190,189,100% (MPN)
939-001647,Rally Mic Pod Hub,295,425,100% (MPN)
939-001799,10m Strong USB 3.1 Cable,395,410,100% (MPN)
939-001799,"Logitech 939-001799 10M Strong USB 3.1 Cable, Tap, Rally Camera & Meetup",375,410,100% (MPN)
939-001802,"Logitech 939-001802 25M Strong USB 3.1 Cable, Tap, Rally Camera & Meetup",975,1125,100% (MPN)
939-001805,LA 45M STRONG USB 3.1.CABLE NEWCABL LONGER STRONGER USB CONNECTOR MP2,1450,1560,100% (MPN)
939-001950,LOGITECH TAP WITH CAT5E KIT,1425,1575,100% (MPN)
940-1.6B,"0.5M/1.6 FT - ULTRA SLIM 4K ULTRA HD HDMI CABLE- HIGH SPEED w/ETHERNET- ULTRA SLIM CABLE/CONNECTOR, 4K@60 2160p, 18 Gbps, HDR, HDCP 2.2, PVC JKT- BLACK",9,18.95,100% (MPN)
940-13B,"13FT/ 4M- ULTRA SLIM 4K ULTRA HD HDMI CABLE- HIGH SPEED w/ETHERNET- ULTRA SLIM CABLE/CONNECTOR, 4K@60 2160p, 18 Gbps, HDR, HDCP 2.2, CL2 PVC JKT- BLACK",24,85,100% (MPN)
940-3B,"1M/3.3FT - ULTRA SLIM 4K ULTRA HD HDMI CABLE- HIGH SPEED w/ETHERNET- ULTRA SLIM CABLE/CONNECTOR, 4K@60 2160p, 18 Gbps, HDR, HDCP 2.2, CL2 PVC JKT- BLACK",10,20.95,100% (MPN)
940-6B,"2M/6.5FT - ULTRA SLIM 4K ULTRA HD HDMI CABLE- HIGH SPEED w/ETHERNET- ULTRA SLIM CABLE/CONNECTOR, 4K@60 2160p, 18 Gbps, HDR, HDCP 2.2, CL2 PVC JKT- BLACK",12,24,100% (MPN)
940-8B,"2.5M/8.2FT - ULTRA SLIM 4K ULTRA HD HDMI CABLE- HIGH SPEED w/ETHERNET- ULTRA SLIM CABLE/CONNECTOR, 4K@60 2160p, 18 Gbps, HDR, HDCP 2.2, CL2 PVC JKT- BLACK",15,28.95,100% (MPN)
950-000005,Logitech 10m Extender Cable for Meetup Expansion Microphone,225,195,100% (MPN)
950-000081,Logitech Roommate COLLABOS APPLIANCE FOR SUPPORTED CONFERENCE CAMERAS AND ROOM SOLUTION PERIPHERALS,1595,1650,100% (MPN)
952-000009,Swytch Connect a laptop to a room system’s AV equipment for use with any video meeting or webinar.,1295,1445,100% (MPN)
952-000038,Rally Mic Pod (White),505,499,100% (MPN)
952-000038,Rally Mic Pod White,495,499,100% (MPN)
952-000041,Logitech VC TV Mount for Video Rally Bars,325,275,100% (MPN)
